MapID	topics
5431	Games, Gaming, VideoGames, Gambling, Overwatch
4049	Philosophy, Ethics, Education, AI, Privacy
29271	Entertainment, Fandom, Comics, SciFi, Marvel, Superheroes
22324	Society, Relationships, Humans
18090	Morality
30085	Health, Psychology, Humans, Sex
10341	Government, Law, Politics, World
2160	USA, NorthKorea, Ban, Tourism
7018	Gender, Politics, Society, Race, Identity
12218	Society, Violence, Parenting
32876	Politics, USA, Trump, Elections, Republicans, Democrats
13112	Philosophy, Religion, God, Rationality
8317	Philosophy, Society, Postmodernism
18047	Gaming
1325	Justice, Law, USA
5625	Ethics, Science, Morality, Humanities, Value
16068	Gender, Law, Society, Culture
14119	Ethics, Law, Society
7768	Philosophy, Ethics, Science, Politics, USA, Moral
10343	Politics, USA, World, Trump
16915	Politics, USA, Abortion
31372	Politics, USA, America, Obama
23038	Government, Politics, Economics, USA
16083	Government, Politics, Society, Economics, USA
32647	Gender, Feminism, Sports
22454	Democracy, USA, HumanRights, FreeSpeech
16929	Gender, LGBTQ, Transgender, Trans
15993	Europe, World, Russia
19171	Politics, Society, USA, Mexico
16242	Entertainment, Film, StarWars, ScienceFiction
27921	Ethics, Politics, Immigration, Refugees
16524	Law, Children, Psychology, Sexuality, Orientation
4711	Law, Economics, Space, Property
28353	ReactJS, MobX, Observer
27060	International, Travel, Visa
27706	Technology, Travel, Aircraft, UAV
15978	Gender, Ethics, Science, Politics, Society, Health
10196	Justice, Society, Police
17835	Gender, Ethics, Abortion
30534	Economy, ClimateChange, Energy, Ecology, Global-warming, Recycling
13514	Technology, Ethics, Science, Politics, Education
28582	Fantasy, RolePlay, RPG, Game
14247	Philosophy, Politics, Society, Culture
14253	Technology, Ethics, Science, AI
10035	Relationships, Marriage, PreNup, Divorce
2214	Ethics, Politics, Immigration, Refugees, Migrants
16322	Politics, Trump, PoliticalCorrectness, Civility, Norms, Decency
15818	Culture, Music, Israel
31776	Religion, Science, Education, God, Evolution
9396	Politics, War, Military, Germany, Safety
24804	Christianity, Psychology, God, Belief
28794	Technology, Games, Mobile, Nerd
921	Philosophy, Ethics, AI, Cars, Trolley
23831	Politics, UK, Elections, Parliament
10223	Religion, Science, Christianity, Faith, Epistemology
9143	Politics, Society, Economics, Environment, Health, ClimateChange
10237	Justice, Law, Violence
16646	Technology, Programming
7185	Law, Society, Economics, Legislation, Housing, Broker, Commerce, Trade, Property, RealEstate, House
16685	Philosophy, Ethics
30643	Sports, Hockey, NHL, Gary_Bettman
15399	Europe, Democracy, Politics, EU
14939	Sports
28756	Science, Wikipedia, OpenScience
18681	Economics
31213	Government, ClimateChange, Climate, GovernmentPower
30858	Education, School
32097	Children, HumanRights, Abortion, Parenthood, Disability
13059	Education
14050	Philosophy, Society
24839	Ethics, Law, Children, Sex
2995	Ethics, Politics, Society, USA, Race, Football
18642	Technology, College, Student, Tablet, Laptop
32530	Cryptocurrency, Crypto, Blockchain, Programming, Ethereum
3692	Ethics, Government, Law, Politics, Economics, USA
15819	Technology, Children, Education, Internet, Sociology, Development, Biology, EdTech
32518	Religion, God, Catholicism, Pope
17968	Technology, Literature, Future
29886	Gender, Sports, Transgender
9354	Science, Health, Medicine, PublicHealth, Homeopathy
17773	Europe, Law, EU, Medicine, Policy, Marijuana
8857	Entertainment, Society, Film, TV, Comics, Superhero
30247	Drugs, Addiction
17820	Ethics, Government, Law, Politics, Society
11289	Technology, Ethics, Software, VideoGames, Piracy
28434	Entertainment, Movies, Fandom, Marvel, Superheroes
13449	Politics, Society, Cars
24583	Technology, Society, Film, Fandom, TV, InfoSec
27920	Ethics, Health, Animals, Medicine, Vaccines
10154	Politics, Education, Society, Economics, USA
11504	Children, USA, UK, Parenting
13307	Philosophy, Ethics, Society, Morality, Sociology, Communication
